frame_num,time_sec,brightness,contrast,visibility,curvature_m,offset_m
1,1,88.83,43.48,Clear,129.87,0.242
6,6,87.53,45.93,Clear,51.26,-2.127
11,11,87.24,47.55,Clear,26.18,-0.387
16,16,84.03,52.08,Clear,90.26,-4.411
21,21,85.09,52.41,Clear,59.18,-3.537
26,26,84.66,49.95,Clear,48.52,-2.640
31,31,87.88,46.81,Clear,564.68,-2.590
36,36,90.37,45.18,Clear,47.24,-2.375
41,41,91.94,43.86,Clear,36.12,-6.575
46,46,100.94,40.58,Clear,42.25,2.375
51,51,92.07,44.60,Clear,46.04,-0.691
56,56,91.92,40.72,Clear,33.52,2.602
61,61,86.95,46.00,Clear,112.20,-1.263
66,66,81.51,50.64,Clear,55.39,-3.019
71,71,85.25,49.40,Clear,54.08,-1.277
76,76,86.48,50.25,Clear,28.01,-1.934
81,81,82.18,47.39,Clear,27.47,-0.244
86,86,83.83,49.87,Clear,29.63,0.574
91,91,82.25,49.24,Clear,39.94,-0.836
96,96,86.77,52.79,Clear,133.78,-2.086
101,101,86.09,49.35,Clear,49.47,-1.624
106,106,86.13,49.17,Clear,26.89,-0.391
111,111,84.70,46.60,Clear,99.49,1.552
116,116,85.83,43.94,Clear,69.71,2.139
121,121,86.14,56.05,Clear,286.69,3.423
126,126,89.42,50.99,Clear,46.04,1.992
131,131,89.80,49.00,Clear,32.58,-1.082
136,136,91.44,47.85,Clear,76.84,-0.246
141,141,89.77,48.21,Clear,33.72,2.268
146,146,90.00,47.88,Clear,95.94,1.623
151,151,91.05,46.76,Clear,48.06,-1.000
156,156,86.66,47.71,Clear,79.78,-2.402
161,161,84.88,49.83,Clear,82.00,0.892
166,166,85.20,48.80,Clear,41.41,-1.710
171,171,83.13,52.29,Clear,270.49,0.110
176,176,86.95,56.25,Clear,28.15,-3.604
181,181,85.70,52.98,Clear,95.04,0.890
186,186,83.50,56.18,Clear,24.27,-2.839
191,191,86.76,51.52,Clear,32.14,1.129
196,196,89.21,51.69,Clear,41.05,-2.152
201,201,94.03,45.18,Clear,32.87,-0.666
206,206,95.87,38.75,Clear,29.58,1.898
211,211,92.68,36.77,Clear,27.85,-4.729
216,216,95.55,37.15,Clear,45.97,0.550
221,221,95.01,39.53,Clear,140.23,-0.692
226,226,91.20,43.05,Clear,79.34,1.465
231,231,94.42,39.85,Clear,30.32,-1.505
236,236,85.77,53.01,Clear,35.21,-3.972
241,241,85.15,46.96,Clear,30.29,2.287
246,246,80.58,48.76,Clear,67.14,-0.300
251,251,87.27,49.59,Clear,28.25,2.584
256,256,86.50,47.34,Clear,28.01,2.088
261,261,84.36,51.11,Clear,211.99,2.507
266,266,86.35,46.75,Clear,1279.32,-1.231
271,271,88.51,41.94,Clear,92.46,2.338
276,276,85.51,44.91,Clear,64.44,1.077
281,281,89.52,44.81,Clear,105.34,0.649
286,286,89.14,44.86,Clear,146.59,0.459
291,291,88.02,50.75,Clear,79.80,1.300
296,296,84.18,52.75,Clear,235.89,1.491
301,301,89.26,51.70,Clear,35.14,-1.409
306,306,92.99,49.27,Clear,65.62,0.085
311,311,93.42,47.39,Clear,1902.52,0.394
316,316,99.81,49.88,Clear,125.38,0.904
321,321,85.31,52.56,Clear,75.66,1.037
326,326,86.51,46.43,Clear,164.61,0.763
331,331,92.65,48.88,Clear,162.82,0.737
336,336,96.11,46.40,Clear,31.23,-0.952
341,341,83.72,47.40,Clear,46.73,0.402
346,346,91.80,43.34,Clear,1331.85,0.383
351,351,89.63,44.70,Clear,141.00,-1.089
356,356,85.58,52.44,Clear,121.10,0.650
361,361,93.19,46.86,Clear,74.41,1.904
366,366,82.75,49.36,Clear,39.91,0.465
371,371,94.03,45.48,Clear,35.30,2.275
376,376,90.37,45.24,Clear,1426.01,1.244
381,381,82.91,54.02,Clear,27.75,0.944
386,386,78.49,52.90,Clear,101.91,-1.108
391,391,81.86,51.63,Clear,26.26,4.267
396,396,82.59,45.80,Clear,157.55,-0.269
401,401,92.19,41.91,Clear,47.90,0.236
406,406,91.34,42.62,Clear,256.56,0.744
411,411,95.71,43.34,Clear,88.97,0.600
416,416,92.21,42.18,Clear,186.18,0.671
421,421,89.28,48.93,Clear,324.56,1.070
426,426,95.22,40.15,Clear,63.34,2.878
431,431,93.41,45.47,Clear,87.40,1.763
436,436,88.27,47.41,Clear,53.44,-0.684
441,441,85.74,44.57,Clear,122.68,2.531
446,446,88.11,43.93,Clear,36.57,2.077
451,451,95.89,41.45,Clear,256.01,0.744
456,456,93.57,43.55,Clear,124.90,0.456
461,461,89.00,47.53,Clear,87.92,1.250
466,466,90.84,44.30,Clear,48.49,1.559
471,471,91.77,43.32,Clear,167.72,-0.183
476,476,93.37,43.32,Clear,119.17,0.142
481,481,95.92,42.30,Clear,31.37,-1.838
486,486,91.90,44.83,Clear,109.81,1.802
491,491,92.81,43.65,Clear,157.65,0.615
496,496,99.39,43.72,Clear,68.40,1.229
501,501,101.24,44.90,Clear,52.89,0.840
506,506,98.38,44.61,Clear,69.77,2.482
511,511,94.04,45.52,Clear,99.93,-0.516
516,516,93.59,42.99,Clear,48.39,-0.766
521,521,96.95,44.44,Clear,54.14,2.345
526,526,93.36,46.90,Clear,64.44,-0.162
531,531,95.79,43.48,Clear,528.62,2.325
536,536,92.07,46.24,Clear,56.42,0.580
541,541,96.14,46.26,Clear,169.58,1.377
546,546,85.03,48.66,Clear,31.13,1.987
551,551,98.89,41.99,Clear,97.29,-0.013
556,556,90.19,45.36,Clear,72.36,0.592
561,561,90.20,48.06,Clear,57.68,2.260
566,566,93.89,45.37,Clear,98.44,0.362
571,571,94.05,47.29,Clear,49.37,0.882
576,576,88.01,45.32,Clear,47.90,-0.089
581,581,90.88,42.68,Clear,325.49,-0.083
586,586,87.66,48.91,Clear,39.57,-1.225
591,591,93.43,46.11,Clear,47.18,0.086
596,596,91.00,46.18,Clear,456.62,2.370
601,601,91.77,48.33,Clear,29.27,3.074
606,606,94.96,47.23,Clear,108.95,0.221
611,611,97.78,45.44,Clear,45.72,1.292
616,616,96.02,42.64,Clear,98.52,-0.056
621,621,100.11,41.61,Clear,79.31,-0.212
626,626,97.66,41.48,Clear,171.80,0.044
631,631,93.04,47.73,Clear,72.12,-1.127
636,636,89.08,50.92,Clear,33.44,-3.673
641,641,100.62,48.72,Clear,32.46,2.326
646,646,88.44,46.78,Clear,1012.97,0.167
651,651,94.92,47.21,Clear,47.26,1.980
656,656,96.25,43.42,Clear,52.57,0.872
661,661,95.27,44.84,Clear,234.57,0.509
666,666,93.70,46.21,Clear,23.45,1.563
671,671,86.67,47.14,Clear,137.75,1.260
676,676,88.58,44.57,Clear,177.01,0.370
681,681,91.09,42.70,Clear,53.58,0.308
686,686,78.56,49.97,Clear,110.48,3.054
691,691,87.02,45.95,Clear,27.88,3.943
696,696,83.68,50.71,Clear,66.23,1.393
