frame_num,time_sec,brightness,contrast,visibility,curvature_m,offset_m,source_video
1,1,88.83,43.48,Clear,129.87,0.242,part1_grapevine
6,6,87.53,45.93,Clear,51.26,-2.127,part1_grapevine
11,11,87.24,47.55,Clear,26.18,-0.387,part1_grapevine
16,16,84.03,52.08,Clear,90.26,-4.411,part1_grapevine
21,21,85.09,52.41,Clear,59.18,-3.537,part1_grapevine
26,26,84.66,49.95,Clear,48.52,-2.64,part1_grapevine
31,31,87.88,46.81,Clear,564.68,-2.59,part1_grapevine
36,36,90.37,45.18,Clear,47.24,-2.375,part1_grapevine
41,41,91.94,43.86,Clear,36.12,-6.575,part1_grapevine
46,46,100.94,40.58,Clear,42.25,2.375,part1_grapevine
51,51,92.07,44.6,Clear,46.04,-0.691,part1_grapevine
56,56,91.92,40.72,Clear,33.52,2.602,part1_grapevine
61,61,86.95,46.0,Clear,112.2,-1.263,part1_grapevine
66,66,81.51,50.64,Clear,55.39,-3.019,part1_grapevine
71,71,85.25,49.4,Clear,54.08,-1.277,part1_grapevine
76,76,86.48,50.25,Clear,28.01,-1.934,part1_grapevine
81,81,82.18,47.39,Clear,27.47,-0.244,part1_grapevine
86,86,83.83,49.87,Clear,29.63,0.574,part1_grapevine
91,91,82.25,49.24,Clear,39.94,-0.836,part1_grapevine
96,96,86.77,52.79,Clear,133.78,-2.086,part1_grapevine
101,101,86.09,49.35,Clear,49.47,-1.624,part1_grapevine
106,106,86.13,49.17,Clear,26.89,-0.391,part1_grapevine
111,111,84.7,46.6,Clear,99.49,1.552,part1_grapevine
116,116,85.83,43.94,Clear,69.71,2.139,part1_grapevine
121,121,86.14,56.05,Clear,286.69,3.423,part1_grapevine
126,126,89.42,50.99,Clear,46.04,1.992,part1_grapevine
131,131,89.8,49.0,Clear,32.58,-1.082,part1_grapevine
136,136,91.44,47.85,Clear,76.84,-0.246,part1_grapevine
141,141,89.77,48.21,Clear,33.72,2.268,part1_grapevine
146,146,90.0,47.88,Clear,95.94,1.623,part1_grapevine
151,151,91.05,46.76,Clear,48.06,-1.0,part1_grapevine
156,156,86.66,47.71,Clear,79.78,-2.402,part1_grapevine
161,161,84.88,49.83,Clear,82.0,0.892,part1_grapevine
166,166,85.2,48.8,Clear,41.41,-1.71,part1_grapevine
171,171,83.13,52.29,Clear,270.49,0.11,part1_grapevine
176,176,86.95,56.25,Clear,28.15,-3.604,part1_grapevine
181,181,85.7,52.98,Clear,95.04,0.89,part1_grapevine
186,186,83.5,56.18,Clear,24.27,-2.839,part1_grapevine
191,191,86.76,51.52,Clear,32.14,1.129,part1_grapevine
196,196,89.21,51.69,Clear,41.05,-2.152,part1_grapevine
201,201,94.03,45.18,Clear,32.87,-0.666,part1_grapevine
206,206,95.87,38.75,Clear,29.58,1.898,part1_grapevine
211,211,92.68,36.77,Clear,27.85,-4.729,part1_grapevine
216,216,95.55,37.15,Clear,45.97,0.55,part1_grapevine
221,221,95.01,39.53,Clear,140.23,-0.692,part1_grapevine
226,226,91.2,43.05,Clear,79.34,1.465,part1_grapevine
231,231,94.42,39.85,Clear,30.32,-1.505,part1_grapevine
236,236,85.77,53.01,Clear,35.21,-3.972,part1_grapevine
241,241,85.15,46.96,Clear,30.29,2.287,part1_grapevine
246,246,80.58,48.76,Clear,67.14,-0.3,part1_grapevine
251,251,87.27,49.59,Clear,28.25,2.584,part1_grapevine
256,256,86.5,47.34,Clear,28.01,2.088,part1_grapevine
261,261,84.36,51.11,Clear,211.99,2.507,part1_grapevine
266,266,86.35,46.75,Clear,1279.32,-1.231,part1_grapevine
271,271,88.51,41.94,Clear,92.46,2.338,part1_grapevine
276,276,85.51,44.91,Clear,64.44,1.077,part1_grapevine
281,281,89.52,44.81,Clear,105.34,0.649,part1_grapevine
286,286,89.14,44.86,Clear,146.59,0.459,part1_grapevine
291,291,88.02,50.75,Clear,79.8,1.3,part1_grapevine
296,296,84.18,52.75,Clear,235.89,1.491,part1_grapevine
301,301,89.26,51.7,Clear,35.14,-1.409,part1_grapevine
306,306,92.99,49.27,Clear,65.62,0.085,part1_grapevine
311,311,93.42,47.39,Clear,1902.52,0.394,part1_grapevine
316,316,99.81,49.88,Clear,125.38,0.904,part1_grapevine
321,321,85.31,52.56,Clear,75.66,1.037,part1_grapevine
326,326,86.51,46.43,Clear,164.61,0.763,part1_grapevine
331,331,92.65,48.88,Clear,162.82,0.737,part1_grapevine
336,336,96.11,46.4,Clear,31.23,-0.952,part1_grapevine
341,341,83.72,47.4,Clear,46.73,0.402,part1_grapevine
346,346,91.8,43.34,Clear,1331.85,0.383,part1_grapevine
351,351,89.63,44.7,Clear,141.0,-1.089,part1_grapevine
356,356,85.58,52.44,Clear,121.1,0.65,part1_grapevine
361,361,93.19,46.86,Clear,74.41,1.904,part1_grapevine
366,366,82.75,49.36,Clear,39.91,0.465,part1_grapevine
371,371,94.03,45.48,Clear,35.3,2.275,part1_grapevine
376,376,90.37,45.24,Clear,1426.01,1.244,part1_grapevine
381,381,82.91,54.02,Clear,27.75,0.944,part1_grapevine
386,386,78.49,52.9,Clear,101.91,-1.108,part1_grapevine
391,391,81.86,51.63,Clear,26.26,4.267,part1_grapevine
396,396,82.59,45.8,Clear,157.55,-0.269,part1_grapevine
401,401,92.19,41.91,Clear,47.9,0.236,part1_grapevine
406,406,91.34,42.62,Clear,256.56,0.744,part1_grapevine
411,411,95.71,43.34,Clear,88.97,0.6,part1_grapevine
416,416,92.21,42.18,Clear,186.18,0.671,part1_grapevine
421,421,89.28,48.93,Clear,324.56,1.07,part1_grapevine
426,426,95.22,40.15,Clear,63.34,2.878,part1_grapevine
431,431,93.41,45.47,Clear,87.4,1.763,part1_grapevine
436,436,88.27,47.41,Clear,53.44,-0.684,part1_grapevine
441,441,85.74,44.57,Clear,122.68,2.531,part1_grapevine
446,446,88.11,43.93,Clear,36.57,2.077,part1_grapevine
451,451,95.89,41.45,Clear,256.01,0.744,part1_grapevine
456,456,93.57,43.55,Clear,124.9,0.456,part1_grapevine
461,461,89.0,47.53,Clear,87.92,1.25,part1_grapevine
466,466,90.84,44.3,Clear,48.49,1.559,part1_grapevine
471,471,91.77,43.32,Clear,167.72,-0.183,part1_grapevine
476,476,93.37,43.32,Clear,119.17,0.142,part1_grapevine
481,481,95.92,42.3,Clear,31.37,-1.838,part1_grapevine
486,486,91.9,44.83,Clear,109.81,1.802,part1_grapevine
491,491,92.81,43.65,Clear,157.65,0.615,part1_grapevine
496,496,99.39,43.72,Clear,68.4,1.229,part1_grapevine
501,501,101.24,44.9,Clear,52.89,0.84,part1_grapevine
506,506,98.38,44.61,Clear,69.77,2.482,part1_grapevine
511,511,94.04,45.52,Clear,99.93,-0.516,part1_grapevine
516,516,93.59,42.99,Clear,48.39,-0.766,part1_grapevine
521,521,96.95,44.44,Clear,54.14,2.345,part1_grapevine
526,526,93.36,46.9,Clear,64.44,-0.162,part1_grapevine
531,531,95.79,43.48,Clear,528.62,2.325,part1_grapevine
536,536,92.07,46.24,Clear,56.42,0.58,part1_grapevine
541,541,96.14,46.26,Clear,169.58,1.377,part1_grapevine
546,546,85.03,48.66,Clear,31.13,1.987,part1_grapevine
551,551,98.89,41.99,Clear,97.29,-0.013,part1_grapevine
556,556,90.19,45.36,Clear,72.36,0.592,part1_grapevine
561,561,90.2,48.06,Clear,57.68,2.26,part1_grapevine
566,566,93.89,45.37,Clear,98.44,0.362,part1_grapevine
