frame_num,time_sec,brightness,contrast,visibility,curvature_m,offset_m
1,1,61.34,24.05,Moderate Fog/Overcast,9999.00,166.826
6,6,122.20,37.47,Clear,88.49,0.736
11,11,123.44,35.05,Clear,22.92,2.476
16,16,118.69,44.11,Clear,40.20,0.239
21,21,122.17,37.13,Clear,36.87,1.460
26,26,121.15,36.72,Clear,105.84,15.227
31,31,121.19,37.03,Clear,40.17,-0.929
36,36,118.07,37.36,Clear,58.40,-0.332
41,41,114.31,39.76,Clear,96.42,-0.030
46,46,116.34,38.30,Clear,62.18,-1.667
51,51,120.31,33.80,Clear,36.69,1.232
56,56,122.55,32.75,Clear,26.71,-0.630
61,61,120.48,35.00,Clear,27.01,-2.456
66,66,120.79,35.64,Clear,29.26,-2.428
71,71,118.11,36.38,Clear,25.08,1.128
76,76,120.40,37.08,Clear,24.80,-0.319
81,81,120.68,38.03,Clear,29.04,1.852
86,86,120.55,36.01,Clear,36.03,-0.346
91,91,122.07,35.30,Clear,24.20,0.722
96,96,121.40,35.80,Clear,58.50,0.968
101,101,119.68,36.25,Clear,25.04,2.971
106,106,119.96,38.21,Clear,30.69,0.083
111,111,119.10,36.78,Clear,37.35,1.483
116,116,118.70,37.16,Clear,205.98,0.598
121,121,119.59,35.04,Clear,92.43,0.705
126,126,112.32,40.10,Clear,42.64,-1.970
131,131,116.84,37.01,Clear,25.56,2.312
136,136,117.18,35.86,Clear,160.93,1.645
141,141,117.14,36.67,Clear,94.40,-1.869
146,146,117.21,35.58,Clear,37.17,-0.818
151,151,116.25,36.31,Clear,55.13,-0.539
156,156,111.82,39.04,Clear,76.43,-1.526
161,161,114.59,38.82,Clear,322.96,-0.288
166,166,117.03,35.35,Clear,36.60,0.441
171,171,116.70,35.12,Clear,29.85,-1.583
176,176,116.52,35.99,Clear,49.41,-1.297
181,181,116.79,35.57,Clear,33.55,-1.752
186,186,116.61,35.58,Clear,159.80,-0.313
191,191,116.98,37.54,Clear,45.94,-1.314
196,196,116.93,37.81,Clear,106.77,-0.325
201,201,117.16,35.97,Clear,68.25,0.470
206,206,120.41,35.60,Clear,157.84,-0.975
211,211,121.42,33.76,Clear,176.93,-0.414
216,216,122.67,34.69,Clear,77.99,0.006
221,221,121.79,35.33,Clear,27.34,-2.399
226,226,122.03,35.04,Clear,47.17,-1.262
231,231,120.77,36.64,Clear,1361.20,0.715
236,236,122.25,36.18,Clear,77.03,-1.457
241,241,123.78,35.01,Clear,34.30,-2.422
246,246,125.71,34.16,Clear,29.66,-1.268
251,251,123.26,35.89,Clear,185.70,-0.157
256,256,125.01,34.78,Clear,26.21,-2.087
261,261,124.83,35.43,Clear,79.65,-0.744
266,266,122.78,37.39,Clear,60.75,3.483
271,271,124.65,38.47,Clear,51.19,5.407
276,276,124.31,34.34,Clear,31.97,3.042
281,281,123.68,34.79,Clear,30.01,2.805
286,286,124.69,34.90,Clear,72.57,0.951
291,291,121.19,41.03,Clear,30.11,2.342
296,296,124.25,35.76,Clear,126.63,-0.860
301,301,124.24,34.98,Clear,32.52,3.620
306,306,124.13,34.93,Clear,42.85,-1.190
311,311,124.40,35.41,Clear,42.65,-0.184
316,316,124.04,35.27,Clear,31.31,-0.101
321,321,123.94,34.90,Clear,29.53,0.238
326,326,122.70,35.59,Clear,33.01,-1.485
331,331,123.07,35.29,Clear,26.00,-1.913
336,336,117.94,39.80,Clear,28.72,2.311
341,341,124.69,36.59,Clear,43.81,-1.022
346,346,124.26,36.27,Clear,48.08,-0.745
351,351,125.37,35.73,Clear,60.72,0.927
356,356,124.16,37.22,Clear,34.82,1.782
361,361,124.30,37.29,Clear,49.20,-0.068
366,366,122.69,40.33,Clear,66.35,0.973
371,371,121.65,41.29,Clear,34.11,-2.007
376,376,121.24,43.36,Clear,27.38,-1.792
381,381,119.97,41.59,Clear,383.66,-0.626
386,386,121.86,39.15,Clear,28.73,0.248
391,391,122.84,39.40,Clear,26.84,-0.205
396,396,123.11,41.56,Clear,27.33,-4.530
401,401,122.25,44.13,Clear,32.28,-0.881
406,406,123.37,40.94,Clear,42.92,0.642
411,411,123.95,40.75,Clear,81.81,-0.049
416,416,123.80,41.04,Clear,51.17,-0.224
421,421,123.34,40.80,Clear,32.90,0.384
426,426,123.15,43.65,Clear,379.51,1.386
431,431,123.52,43.59,Clear,91.59,0.447
436,436,121.89,45.46,Clear,29.69,3.103
441,441,123.93,41.24,Clear,585.53,-1.464
446,446,124.71,40.13,Clear,57.23,-0.042
451,451,124.02,40.63,Clear,37.48,1.372
456,456,124.50,40.33,Clear,86.92,-0.050
461,461,124.13,40.74,Clear,70.53,1.032
466,466,124.21,40.88,Clear,910.65,0.638
471,471,124.01,40.81,Clear,1123.67,-1.206
476,476,123.66,41.18,Clear,122.54,0.650
481,481,123.75,41.42,Clear,292.34,0.630
486,486,123.52,42.36,Clear,26.87,1.290
491,491,119.17,46.50,Clear,32.44,-1.553
496,496,121.78,42.11,Clear,25.20,0.090
501,501,121.74,41.07,Clear,29.87,-1.664
506,506,121.70,42.48,Clear,176.73,-0.585
511,511,120.18,42.49,Clear,155.15,-0.983
516,516,119.79,41.90,Clear,29.64,0.725
521,521,120.78,41.22,Clear,25.39,0.404
526,526,121.30,41.27,Clear,106.08,-0.313
531,531,120.80,40.86,Clear,73.63,-0.081
536,536,119.96,41.10,Clear,80.98,-0.402
541,541,120.19,41.22,Clear,115.80,13.097
546,546,119.24,41.41,Clear,274.31,2.723
551,551,118.57,42.40,Clear,26.78,1.756
556,556,117.27,43.56,Clear,26.76,3.828
561,561,114.71,45.70,Clear,34.77,2.505
566,566,114.30,44.99,Clear,4686.44,0.953
571,571,115.05,44.74,Clear,40.41,2.301
576,576,117.35,42.85,Clear,26.45,3.143
581,581,118.32,42.38,Clear,104.58,2.031
586,586,117.91,41.89,Clear,30.32,2.629
591,591,116.23,44.09,Clear,260.06,1.257
596,596,105.67,50.31,Clear,24.24,-0.204
601,601,115.78,42.66,Clear,27.18,1.617
606,606,117.93,42.55,Clear,26.61,3.299
611,611,118.28,42.87,Clear,45.73,1.681
616,616,118.48,43.33,Clear,29.47,0.502
621,621,118.48,43.19,Clear,42.71,-0.208
626,626,118.83,42.81,Clear,51.59,1.268
631,631,119.46,42.56,Clear,65.59,-2.169
636,636,119.02,43.90,Clear,54.19,0.529
641,641,118.15,44.03,Clear,49.82,-0.312
646,646,117.40,45.30,Clear,44.90,-2.136
651,651,117.07,45.26,Clear,85.01,-0.797
656,656,117.27,45.65,Clear,59.93,-0.046
661,661,117.04,45.88,Clear,35.08,-0.819
666,666,116.63,45.76,Clear,32.39,-0.597
671,671,116.79,45.46,Clear,97.53,0.367
676,676,116.50,45.97,Clear,31.59,-0.333
681,681,116.06,45.92,Clear,44.77,0.722
686,686,115.26,47.52,Clear,29.60,3.923
691,691,116.52,45.19,Clear,26.75,1.590
696,696,116.71,45.13,Clear,42.74,1.940
701,701,118.42,43.72,Clear,53.84,0.033
706,706,118.52,43.52,Clear,26.15,0.255
711,711,118.95,43.49,Clear,156.93,-1.301
716,716,119.41,43.02,Clear,26.89,1.143
721,721,118.84,43.42,Clear,32.35,1.609
726,726,118.50,43.47,Clear,51.58,0.837
731,731,117.69,43.67,Clear,25.49,0.913
736,736,115.45,45.94,Clear,1125.89,1.505
741,741,115.24,42.43,Clear,37.80,-1.996
746,746,116.50,43.31,Clear,27.84,1.230
751,751,117.68,42.19,Clear,49.94,1.592
756,756,115.45,43.86,Clear,28.02,-4.143
761,761,117.13,43.13,Clear,39.34,-0.892
766,766,118.24,43.21,Clear,34.36,2.043
771,771,119.49,42.96,Clear,85.91,1.020
776,776,122.40,40.23,Clear,49.98,1.427
781,781,119.55,42.80,Clear,42.89,-0.709
786,786,119.98,42.75,Clear,39.30,-1.401
791,791,119.77,43.84,Clear,42.53,-0.909
796,796,119.62,44.02,Clear,43.09,1.535
801,801,119.52,43.83,Clear,32.59,2.627
806,806,119.25,43.95,Clear,30.63,1.197
811,811,115.55,47.64,Clear,468.63,3.107
816,816,119.98,40.30,Clear,73.28,3.278
821,821,121.24,40.64,Clear,25.31,3.387
826,826,121.78,40.85,Clear,63.42,-0.438
831,831,121.85,41.18,Clear,32.52,-1.861
836,836,120.82,43.78,Clear,53.87,0.174
841,841,121.70,40.86,Clear,69.60,1.109
846,846,121.93,41.11,Clear,36.54,-1.164
851,851,121.89,41.46,Clear,126.47,-0.164
856,856,120.84,42.54,Clear,44.18,-0.136
861,861,122.13,41.62,Clear,34.85,-1.334
866,866,120.66,43.11,Clear,67.38,-0.369
871,871,122.00,39.36,Clear,29.45,-1.157
876,876,123.51,40.01,Clear,34.60,0.197
881,881,123.16,41.00,Clear,59.21,-0.358
886,886,123.20,41.75,Clear,30.19,0.431
891,891,123.48,41.83,Clear,30.75,2.524
896,896,124.10,41.26,Clear,46.88,3.604
901,901,124.75,41.78,Clear,38.02,-1.095
906,906,123.97,41.70,Clear,32.50,0.591
911,911,126.03,42.58,Clear,38.85,3.239
916,916,122.08,42.50,Clear,28.38,0.931
921,921,123.00,42.31,Clear,78.58,-0.923
926,926,126.20,38.37,Clear,112.50,-0.444
931,931,122.88,42.38,Clear,34.11,2.344
936,936,122.34,42.97,Clear,1917.70,3.569
941,941,122.69,43.31,Clear,31.03,0.583
946,946,121.91,43.60,Clear,98.74,2.687
951,951,122.28,43.49,Clear,241.55,1.793
956,956,121.70,44.43,Clear,26.02,2.940
961,961,121.75,44.08,Clear,483.25,0.320
966,966,121.41,44.62,Clear,94.30,0.122
971,971,121.40,44.33,Clear,29.16,-0.043
976,976,121.98,43.39,Clear,33.25,2.293
981,981,121.12,43.92,Clear,398.67,-0.227
986,986,121.12,44.35,Clear,27.28,4.234
991,991,120.82,44.03,Clear,46.68,1.397
996,996,120.35,44.54,Clear,27.67,1.019
1001,1001,109.25,49.25,Clear,560.26,2.506
1006,1006,118.58,44.32,Clear,30.45,2.414
1011,1011,118.66,47.05,Clear,94.13,3.389
1016,1016,119.24,44.92,Clear,79.10,2.099
1021,1021,113.08,47.11,Clear,52.85,0.500
1026,1026,118.22,43.31,Clear,56.09,0.578
1031,1031,119.62,43.79,Clear,41.82,2.978
1036,1036,119.82,44.19,Clear,179.16,-0.076
1041,1041,119.37,44.17,Clear,62.79,-0.315
1046,1046,119.25,44.59,Clear,475.96,0.571
1051,1051,119.17,44.59,Clear,34.06,0.759
1056,1056,119.83,44.04,Clear,53.95,1.031
1061,1061,119.94,44.09,Clear,37.97,2.739
1066,1066,119.77,44.14,Clear,270.10,2.056
1071,1071,119.68,44.31,Clear,92.76,-0.183
1076,1076,119.54,43.96,Clear,48.51,1.168
1081,1081,119.92,44.17,Clear,329.45,0.107
1086,1086,119.55,44.57,Clear,48.98,-0.581
1091,1091,119.69,44.72,Clear,30.76,1.318
1096,1096,118.79,47.57,Clear,330.82,0.216
1101,1101,120.03,44.61,Clear,70.81,-0.838
1106,1106,119.80,44.69,Clear,38.41,-0.689
1111,1111,119.39,45.95,Clear,282.02,-0.169
1116,1116,119.95,44.99,Clear,123.38,1.242
1121,1121,120.11,44.70,Clear,97.00,-0.033
1126,1126,119.59,44.82,Clear,65.63,0.479
1131,1131,120.43,44.78,Clear,37.26,-0.698
1136,1136,121.13,43.48,Clear,43.01,-0.871
1141,1141,120.62,43.61,Clear,29.49,0.695
1146,1146,109.58,49.50,Clear,47.77,3.599
1151,1151,118.65,43.11,Clear,90.67,2.997
1156,1156,119.65,43.11,Clear,135.20,2.961
1161,1161,119.27,44.52,Clear,37.57,0.495
1166,1166,119.39,43.67,Clear,26.82,-1.721
1171,1171,119.71,42.58,Clear,32.36,-4.588
1176,1176,59.14,48.00,Clear,236.67,-9.313
1181,1181,118.58,42.30,Clear,342.63,-0.949
1186,1186,119.11,43.08,Clear,45.48,-1.506
1191,1191,119.85,42.56,Clear,44.02,-2.599
1196,1196,119.19,42.84,Clear,69.46,-0.324
1201,1201,117.58,44.17,Clear,36.71,-0.039
1206,1206,117.93,43.93,Clear,63.97,-0.840
1211,1211,117.09,44.37,Clear,92.54,0.320
